"State","infected","deceased","country","sourceUrl","README","historyData","infected","negative","suspected","deceased","tested","recovered","lastUpdatedAtApify","lastUpdatedAtSource"
"Ciudad de Mexico","138329","10730","Mexico","https://coronavirus.gob.mx/datos/","https://apify.com/puorc/mexico-covid19?utm_source=app","https://api.apify.com/v2/datasets/4efvuMEdxdQPCreW7/items?format=json&clean=1","809751","956251","302645","83507","N/A","N/A","2020-10-12T20:00:13.734Z","2020-10-09T00:00:00.000Z"
"Baja California Sur","10925","537","","","","","","","","","","","",""
"Tabasco","32868","2893","","","","","","","","","","","",""
"Sonora","35177","2971","","","","","","","","","","","",""
"Coahuila","28317","1996","","","","","","","","","","","",""
"Yucatan","19426","1635","","","","","","","","","","","",""
"San Luis Potosi","24279","1782","","","","","","","","","","","",""
"Tamaulipas","30066","2381","","","","","","","","","","","",""
"Nuevo Leon","43667","3306","","","","","","","","","","","",""
"Quintana Roo","12590","1743","","","","","","","","","","","",""
"Colima","5671","579","","","","","","","","","","","",""
"Guanajuato","43054","3099","","","","","","","","","","","",""
"Sinaloa","19791","3366","","","","","","","","","","","",""
"Campeche","6235","840","","","","","","","","","","","",""
"Baja California","22137","3680","","","","","","","","","","","",""
"Tlaxcala","7820","1133","","","","","","","","","","","",""
"Guerrero","20295","2057","","","","","","","","","","","",""
"Aguascalientes","7753","676","","","","","","","","","","","",""
"Durango","9844","689","","","","","","","","","","","",""
"Estado de Mexico","88619","13007","","","","","","","","","","","",""
"Puebla","32922","4372","","","","","","","","","","","",""
"Zacatecas","8122","783","","","","","","","","","","","",""
"Nayarit","6247","782","","","","","","","","","","","",""
"Michoacan","21927","1827","","","","","","","","","","","",""
"Oaxaca","18694","1554","","","","","","","","","","","",""
"Hidalgo","13844","2061","","","","","","","","","","","",""
"Queretaro","10086","997","","","","","","","","","","","",""
"Veracruz","34679","4591","","","","","","","","","","","",""
"Jalisco","29252","3509","","","","","","","","","","","",""
"Chihuahua","12753","1483","","","","","","","","","","","",""
"Morelos","6283","1125","","","","","","","","","","","",""
"Chiapas","8079","1323","","","","","","","","","","","",""
